claim_id,traveler_id,filing_date,claim_basis,origin_country_id,status,decision_date,assigned_officer,dependents_count
1,104592,2025-01-12,Gender-Based,3,Denied,2025-06-27,Sobia Bukhari,0
2,6843,2025-11-08,Persecution,3,Under Review,,Shazia Bukhari,2
3,9181,2025-05-13,War,23,Denied,2025-06-20,Lubna Syed,2
4,147619,2025-04-13,Persecution,43,Withdrawn,2025-06-29,Hina Bukhari,0
5,139848,2025-01-28,Persecution,16,Appealed,2025-04-26,Waqas Mahmood,1
6,52326,2025-09-16,Persecution,3,Interview Scheduled,,Shazia Riaz,1
7,129596,2025-06-02,Persecution,3,Under Review,,Tariq Paracha,3
8,44609,2025-07-11,Ethnic,3,Denied,2025-10-22,Irfan Lodhi,1
9,126148,2025-11-11,Political,17,Interview Scheduled,,Asad Bukhari,4
10,134962,2025-05-27,War,3,Filed,,Kamran Akhtar,0
11,35855,2025-07-13,Persecution,3,Appealed,2025-10-28,Saima Gondal,2
12,149066,2025-06-22,Ethnic,18,Approved,2025-09-04,Shazia Gondal,4
13,113333,2025-11-17,Persecution,18,Under Review,,Uzma Chaudhry,6
14,37582,2025-03-05,Ethnic,1,Appealed,2025-06-03,Amjad Syed,1
15,61454,2025-07-24,War,3,Denied,2025-11-16,Naveed Chaudhry,0
16,27870,2025-03-27,Persecution,22,Under Review,,Uzma Paracha,2
17,94978,2025-10-16,War,3,Under Review,,Kamran Chaudhry,0
18,22913,2025-09-15,Political,1,Under Review,,Zafar Akhtar,1
19,102439,2025-12-07,Political,3,Under Review,,Hina Akhtar,5
20,60145,2025-09-09,Ethnic,22,Under Review,,Rashid Gondal,1
21,99971,2025-04-03,War,3,Approved,2025-09-05,Zafar Chaudhry,1
22,31008,2025-07-02,Persecution,3,Approved,2025-11-07,Bilal Gondal,2
23,101985,2025-09-07,War,42,Under Review,,Nadia Riaz,3
24,83404,2025-03-12,Political,3,Appealed,2025-08-18,Tariq Akhtar,1
25,60445,2025-12-07,Persecution,16,Under Review,,Fahad Riaz,3
26,129582,2025-03-13,Ethnic,18,Approved,2025-07-03,Lubna Chaudhry,0
27,67406,2025-05-25,War,16,Under Review,,Asad Syed,0
28,15894,2025-06-26,Religious,3,Denied,2025-11-21,Uzma Syed,2
29,108390,2025-02-18,Political,3,Interview Scheduled,,Asad Syed,3
30,71984,2025-08-17,War,3,Under Review,,Tariq Sethi,4
31,95812,2025-10-22,War,3,Interview Scheduled,,Hina Gondal,1
32,81750,2025-12-04,Religious,3,Under Review,,Bilal Akhtar,4
33,105144,2025-05-04,Persecution,3,Interview Scheduled,,Uzma Lodhi,1
34,135287,2025-09-05,Political,3,Interview Scheduled,,Irfan Syed,4
35,111761,2025-01-10,Religious,22,Approved,2025-06-22,Tahira Gondal,0
36,100325,2025-11-17,Political,3,Approved,2025-12-20,Fahad Chaudhry,0
37,59268,2025-07-17,Gender-Based,6,Under Review,,Uzma Mahmood,2
38,121090,2025-07-23,Persecution,3,Approved,2025-12-11,Naveed Chaudhry,5
39,133526,2025-12-20,War,3,Interview Scheduled,,Naveed Lodhi,1
40,96829,2025-11-17,Ethnic,3,Under Review,,Asad Lodhi,4
41,100374,2025-02-24,Persecution,3,Interview Scheduled,,Rashid Syed,0
42,74002,2025-01-23,War,17,Approved,2025-05-12,Nadia Sethi,2
43,38793,2025-06-22,Ethnic,3,Approved,2025-11-05,Saima Syed,1
44,78961,2025-01-04,Political,3,Approved,2025-05-16,Irfan Sethi,0
45,5979,2025-09-25,Religious,3,Interview Scheduled,,Rashid Sethi,2
46,142714,2025-06-25,War,3,Under Review,,Zafar Sethi,2
47,16511,2025-03-03,War,23,Filed,,Tahira Riaz,2
48,103630,2025-06-22,Political,42,Filed,,Zafar Syed,2
49,118812,2025-01-10,Political,3,Appealed,2025-06-01,Tariq Riaz,1
50,140866,2025-10-07,Ethnic,42,Filed,,Amjad Bukhari,1
51,3031,2025-12-21,Political,3,Filed,,Tariq Riaz,2
52,112392,2025-08-25,War,3,Under Review,,Amjad Lodhi,1
53,26849,2025-06-08,Political,2,Denied,2025-11-03,Uzma Riaz,2
54,56930,2025-12-16,War,3,Interview Scheduled,,Amjad Chaudhry,0
55,127611,2025-02-20,Political,3,Approved,2025-07-06,Uzma Syed,0
56,90416,2025-12-13,War,16,Filed,,Waqas Gondal,2
57,134325,2025-01-15,Political,3,Under Review,,Uzma Riaz,2
58,115898,2025-04-23,Ethnic,22,Under Review,,Naveed Chaudhry,1
59,29152,2025-09-24,Religious,3,Under Review,,Waqas Lodhi,3
60,117326,2025-12-28,Persecution,16,Under Review,,Amjad Syed,2
61,68607,2025-08-23,Gender-Based,18,Under Review,,Irfan Sethi,1
62,26489,2025-01-27,Political,19,Denied,2025-03-12,Asad Sethi,0
63,120618,2025-04-10,Political,3,Appealed,2025-09-26,Zafar Paracha,0
64,56469,2025-04-06,War,16,Denied,2025-07-01,Waqas Bukhari,0
65,72385,2025-01-16,War,3,Approved,2025-02-26,Tariq Lodhi,0
66,100186,2025-10-10,Ethnic,17,Interview Scheduled,,Zafar Lodhi,4
67,86744,2025-08-14,Political,3,Under Review,,Irfan Chaudhry,1
68,40563,2025-04-21,Persecution,1,Denied,2025-07-30,Tariq Lodhi,0
69,128841,2025-07-27,War,16,Interview Scheduled,,Shazia Riaz,1
70,66187,2025-11-05,War,3,Under Review,,Irfan Mahmood,2
71,67564,2025-08-11,Other,1,Denied,2025-11-14,Asad Mahmood,1
72,85379,2025-11-10,War,16,Approved,2025-12-19,Amjad Chaudhry,0
73,53055,2025-11-25,Political,3,Under Review,,Kamran Sethi,1
74,46064,2025-07-19,Ethnic,17,Under Review,,Naveed Akhtar,2
75,72525,2025-06-08,Ethnic,3,Denied,2025-10-02,Tariq Bukhari,3
76,95263,2025-05-07,Gender-Based,3,Approved,2025-07-23,Fahad Gondal,3
77,32764,2025-06-03,War,17,Approved,2025-08-27,Rashid Gondal,0
78,95689,2025-06-11,War,23,Interview Scheduled,,Asad Gondal,4
79,134794,2025-06-01,Religious,17,Approved,2025-10-09,Shazia Lodhi,2
80,45673,2025-07-13,Ethnic,3,Appealed,2025-10-09,Samina Syed,2
81,65352,2025-12-24,Political,18,Under Review,,Kamran Bukhari,1
82,147425,2025-10-24,Political,3,Under Review,,Irfan Paracha,3
83,146415,2025-04-24,War,3,Filed,,Rashid Bukhari,0
84,70262,2025-02-08,Political,3,Denied,2025-06-07,Sobia Riaz,0
85,138183,2025-12-03,Ethnic,1,Under Review,,Bilal Bukhari,1
86,60904,2025-11-23,Ethnic,3,Approved,2025-12-25,Tariq Gondal,2
87,74593,2025-05-24,War,3,Approved,2025-11-18,Tariq Akhtar,4
88,20640,2025-08-18,Political,3,Denied,2025-09-22,Waqas Akhtar,0
89,100739,2025-02-25,War,18,Under Review,,Samina Chaudhry,0
90,10432,2025-09-09,Ethnic,18,Withdrawn,2025-12-06,Saima Gondal,0
91,87594,2025-09-25,Persecution,3,Under Review,,Kamran Chaudhry,0
92,18072,2025-08-14,War,22,Interview Scheduled,,Tariq Bukhari,1
93,47110,2025-08-25,War,19,Under Review,,Irfan Riaz,2
94,110955,2025-06-21,War,16,Approved,2025-11-14,Fahad Lodhi,0
95,123648,2025-08-07,Political,3,Under Review,,Lubna Bukhari,1
96,48914,2025-05-11,War,3,Appealed,2025-07-13,Tahira Syed,2
97,25285,2025-08-03,Religious,3,Withdrawn,2025-10-12,Kamran Akhtar,1
98,92563,2025-07-15,Religious,22,Under Review,,Nadia Mahmood,0
99,98272,2025-10-26,Religious,17,Under Review,,Rashid Lodhi,3
100,117826,2025-10-07,Religious,1,Under Review,,Amjad Mahmood,1
101,131815,2025-04-27,War,3,Approved,2025-07-01,Waqas Chaudhry,3
102,19720,2025-05-22,Gender-Based,3,Approved,2025-07-08,Zafar Chaudhry,1
103,111118,2025-03-14,Political,3,Interview Scheduled,,Lubna Akhtar,1
104,46891,2025-07-17,War,17,Denied,2025-10-09,Saima Paracha,1
105,94750,2025-10-26,Political,22,Filed,,Lubna Syed,3
106,39283,2025-08-16,Ethnic,23,Under Review,,Sobia Mahmood,0
107,137193,2025-11-06,Persecution,19,Under Review,,Kamran Lodhi,2
108,81528,2025-09-17,Religious,16,Under Review,,Samina Gondal,0
109,141147,2025-12-19,Political,3,Under Review,,Amjad Syed,5
110,59253,2025-04-18,Religious,1,Approved,2025-08-26,Tariq Riaz,2
111,102576,2025-03-03,War,17,Under Review,,Kamran Lodhi,0
112,79456,2025-10-23,Religious,1,Filed,,Kamran Riaz,3
113,124340,2025-08-10,Persecution,22,Interview Scheduled,,Naveed Bukhari,4
114,27699,2025-02-01,War,3,Under Review,,Lubna Paracha,2
115,127708,2025-02-08,Persecution,1,Approved,2025-04-23,Tahira Paracha,0
116,137586,2025-03-19,Persecution,27,Approved,2025-04-26,Saima Mahmood,2
117,52171,2025-06-09,War,3,Under Review,,Uzma Akhtar,3
118,75845,2025-07-18,Persecution,22,Appealed,2025-11-29,Nadia Gondal,2
119,123887,2025-09-28,Religious,3,Approved,2025-12-02,Uzma Lodhi,2
