detention_id,traveler_id,facility_name,facility_country_id,intake_date,release_date,reason,removal_order_id,status
1,117383,"FIA Detention Centre, Lahore",1,2025-11-01,2025-11-15,Pending deportation,,Deported
2,11623,"FIA Detention Centre, Karachi",1,2025-02-26,2025-03-28,Awaiting removal order,6911,Released
3,35133,"Foreigners Registration Centre, Peshawar",1,2025-07-13,2025-07-14,Asylum processing,,Deported
4,111585,"UNHCR Transit Centre, Peshawar",1,2025-12-12,2025-12-19,Security screening,8037,Released
5,135435,"Foreigners Registration Centre, Peshawar",1,2025-10-23,2025-10-26,Document verification,,Deported
6,34923,"Foreigners Registration Centre, Peshawar",1,2025-09-22,2025-09-23,Security screening,,Released
7,21942,"Foreigners Registration Centre, Peshawar",1,2025-03-12,2025-03-26,Security screening,1908,Deported
8,101345,"Balochistan Repatriation Centre, Quetta",1,2025-06-23,,Border apprehension,,Active
9,2990,Chaman Border Detention Facility,1,2025-06-05,,Pending deportation,14572,Active
10,20161,Chaman Border Detention Facility,1,2025-12-19,2025-12-22,Criminal investigation,,Released
11,113201,"Balochistan Repatriation Centre, Quetta",1,2025-08-05,2025-09-04,Pending deportation,3619,Released
12,24866,"Immigration Holding Facility, Islamabad Airport",1,2025-01-24,2025-01-25,Security screening,5088,Deported
13,108117,"Immigration Holding Facility, Jinnah Airport",1,2025-05-07,2025-06-06,Pending deportation,9467,Transferred
14,128590,"Foreigners Registration Centre, Peshawar",1,2025-10-13,2025-11-12,Trafficking investigation,,Released
15,32787,"FIA Detention Centre, Islamabad",1,2025-07-21,2025-10-19,Awaiting removal order,10090,Released
16,137101,"FIA Detention Centre, Islamabad",1,2025-07-11,2025-07-25,Identity verification,,Released
17,48241,"Balochistan Repatriation Centre, Quetta",1,2025-02-06,2025-04-07,Awaiting removal order,5627,Deported
18,28779,"Immigration Holding Facility, Jinnah Airport",1,2025-08-05,2025-11-03,Awaiting removal order,9686,Released
19,47268,"Immigration Holding Facility, Jinnah Airport",1,2025-12-13,2025-12-27,Pending deportation,12869,Deported
20,125377,"FIA Detention Centre, Karachi",1,2025-12-21,2025-12-28,Awaiting removal order,4524,Released
21,5493,"Balochistan Repatriation Centre, Quetta",1,2025-01-15,2025-01-22,Security screening,6503,Deported
22,134656,"UNHCR Transit Centre, Peshawar",1,2025-05-17,2025-06-16,Awaiting removal order,36,Deported
23,71816,"FIA Detention Centre, Lahore",1,2025-09-12,2025-11-11,Border apprehension,,Deported
24,3670,"Immigration Holding Facility, Allama Iqbal Airport",1,2025-08-07,2025-10-06,Security screening,4043,Transferred
25,49686,Chaman Border Detention Facility,1,2025-05-15,2025-05-29,Security screening,11591,Released
26,55723,"FIA Detention Centre, Karachi",1,2025-09-17,2025-10-17,Security screening,13906,Released
27,8369,Torkham Border Detention Facility,1,2025-09-20,2025-12-19,Security screening,1868,Deported
28,72452,"UNHCR Transit Centre, Peshawar",1,2025-08-26,2025-08-29,Document verification,,Deported
29,1440,"Foreigners Registration Centre, Peshawar",1,2025-03-21,2025-04-20,Security screening,5525,Transferred
30,51476,"Foreigners Registration Centre, Peshawar",1,2025-03-14,2025-03-28,Document verification,,Released
31,72676,"FIA Detention Centre, Lahore",1,2025-09-15,2025-10-15,Pending deportation,10148,Transferred
32,72623,"Immigration Holding Facility, Islamabad Airport",1,2025-02-03,2025-02-17,Awaiting removal order,14475,Transferred
33,77861,"Balochistan Repatriation Centre, Quetta",1,2025-12-01,2025-12-04,Pending deportation,,Deported
34,147695,"Immigration Holding Facility, Islamabad Airport",1,2025-04-08,2025-04-22,Security screening,,Deported
35,100197,"Balochistan Repatriation Centre, Quetta",1,2025-11-13,2025-11-20,Awaiting removal order,8333,Deported
36,119776,"Immigration Holding Facility, Allama Iqbal Airport",1,2025-03-11,2025-03-18,Criminal investigation,,Transferred
37,142838,"Immigration Holding Facility, Islamabad Airport",1,2025-11-22,2025-12-06,Pending deportation,12569,Released
38,42158,"UNHCR Transit Centre, Peshawar",1,2025-11-28,2025-12-05,Pending deportation,3635,Deported
39,76416,Chaman Border Detention Facility,1,2025-05-25,2025-06-24,Awaiting removal order,2014,Released
40,124097,"Transit Holding Centre, Quetta",1,2025-12-02,,Asylum processing,,Active
41,96737,"FIA Detention Centre, Lahore",1,2025-06-07,2025-06-21,Security screening,968,Transferred
42,73581,"Transit Holding Centre, Quetta",1,2025-10-06,2025-10-20,Awaiting removal order,1824,Deported
43,74563,Torkham Border Detention Facility,1,2025-10-15,2025-11-14,Security screening,9087,Deported
44,122706,"Balochistan Repatriation Centre, Quetta",1,2025-06-08,2025-06-15,Pending deportation,3772,Released
45,128926,"Balochistan Repatriation Centre, Quetta",1,2025-01-09,2025-01-23,Document verification,,Transferred
46,13294,Chaman Border Detention Facility,1,2025-03-07,2025-03-14,Pending deportation,4784,Transferred
47,62005,"Immigration Holding Facility, Islamabad Airport",1,2025-08-27,2025-09-26,Asylum processing,,Transferred
48,16950,Torkham Border Detention Facility,1,2025-10-12,2025-10-19,Pending deportation,937,Deported
49,131793,Torkham Border Detention Facility,1,2025-04-01,2025-04-08,Criminal investigation,,Deported
50,4545,"FIA Detention Centre, Karachi",1,2025-11-05,2025-12-05,Security screening,9294,Deported
51,85419,"FIA Detention Centre, Karachi",1,2025-07-13,2025-09-11,Security screening,5534,Transferred
52,140627,"Balochistan Repatriation Centre, Quetta",1,2025-12-27,,Security screening,,Active
53,111172,"UNHCR Transit Centre, Peshawar",1,2025-10-14,,Pending deportation,14528,Active
54,100393,"Immigration Holding Facility, Allama Iqbal Airport",1,2025-07-16,2025-07-19,Pending deportation,11493,Deported
55,112963,"FIA Detention Centre, Islamabad",1,2025-03-09,2025-04-08,Awaiting removal order,7070,Deported
56,9140,"Balochistan Repatriation Centre, Quetta",1,2025-05-24,2025-05-27,Pending deportation,1645,Deported
57,73848,"FIA Detention Centre, Lahore",1,2025-05-24,2025-06-23,Security screening,548,Released
58,143669,Torkham Border Detention Facility,1,2025-07-23,,Security screening,5888,Active
59,55883,Torkham Border Detention Facility,1,2025-08-27,2025-09-26,Security screening,8334,Released
60,13567,"Transit Holding Centre, Quetta",1,2025-08-20,2025-09-03,Security screening,135,Deported
61,116620,"UNHCR Transit Centre, Peshawar",1,2025-12-15,2025-12-22,Security screening,,Transferred
62,148941,"Immigration Holding Facility, Islamabad Airport",1,2025-04-18,2025-04-21,Awaiting removal order,8825,Deported
63,4668,Chaman Border Detention Facility,1,2025-05-05,2025-06-04,Border apprehension,,Deported
64,27680,"FIA Detention Centre, Lahore",1,2025-12-07,2025-12-14,Awaiting removal order,11060,Deported
65,15312,"Foreigners Registration Centre, Peshawar",1,2025-05-25,2025-06-01,Unauthorized entry,,Released
66,2289,Chaman Border Detention Facility,1,2025-11-17,2025-11-20,Document verification,,Released
67,79506,"FIA Detention Centre, Lahore",1,2025-07-15,2025-10-13,Pending deportation,90,Transferred
68,27146,"FIA Detention Centre, Karachi",1,2025-11-26,,Security screening,5012,Active
69,142771,"Immigration Holding Facility, Islamabad Airport",1,2025-11-22,,Awaiting removal order,1901,Active
70,28201,Torkham Border Detention Facility,1,2025-07-09,2025-08-08,Security screening,4307,Deported
71,77938,Chaman Border Detention Facility,1,2025-03-25,2025-05-24,Pending deportation,12821,Released
72,91684,"FIA Detention Centre, Islamabad",1,2025-08-25,2025-08-26,Security screening,8971,Deported
73,124864,"Transit Holding Centre, Quetta",1,2025-07-13,,Security screening,5287,Active
74,5592,"UNHCR Transit Centre, Peshawar",1,2025-06-09,2025-06-12,Pending deportation,12494,Deported
75,109412,"Immigration Holding Facility, Islamabad Airport",1,2025-03-23,2025-04-06,Pending deportation,4937,Transferred
76,115983,"Balochistan Repatriation Centre, Quetta",1,2025-12-11,2025-12-25,Pending deportation,14609,Deported
77,93098,Chaman Border Detention Facility,1,2025-11-19,,Document verification,,Active
78,30877,"FIA Detention Centre, Karachi",1,2025-02-24,2025-03-26,Border apprehension,,Transferred
79,106603,"Immigration Holding Facility, Allama Iqbal Airport",1,2025-11-08,2025-12-08,Pending deportation,11426,Deported
80,77054,"UNHCR Transit Centre, Peshawar",1,2025-04-03,2025-05-03,Trafficking investigation,,Transferred
81,45804,"FIA Detention Centre, Karachi",1,2025-03-25,2025-04-24,Pending deportation,4201,Deported
82,58635,"Immigration Holding Facility, Jinnah Airport",1,2025-07-05,,Pending deportation,14025,Active
83,51118,"UNHCR Transit Centre, Peshawar",1,2025-07-15,2025-07-16,Border apprehension,,Deported
84,140969,"Balochistan Repatriation Centre, Quetta",1,2025-11-22,2025-11-29,Security screening,,Released
85,21617,"UNHCR Transit Centre, Peshawar",1,2025-12-13,,Security screening,,Active
86,49247,"Balochistan Repatriation Centre, Quetta",1,2025-01-03,,Pending deportation,13279,Active
87,21832,"FIA Detention Centre, Lahore",1,2025-10-07,2025-10-10,Awaiting removal order,9514,Deported
88,148103,"FIA Detention Centre, Karachi",1,2025-10-13,2025-10-20,Security screening,3423,Deported
89,4672,"UNHCR Transit Centre, Peshawar",1,2025-01-28,2025-01-31,Pending deportation,,Transferred
90,135403,"Immigration Holding Facility, Allama Iqbal Airport",1,2025-03-06,,Awaiting removal order,7171,Active
91,17556,"UNHCR Transit Centre, Peshawar",1,2025-07-07,2025-10-05,Border apprehension,,Deported
92,126981,"Balochistan Repatriation Centre, Quetta",1,2025-04-20,2025-04-23,Pending deportation,3148,Released
93,48892,"Immigration Holding Facility, Jinnah Airport",1,2025-09-16,2025-11-15,Awaiting removal order,6149,Transferred
94,41000,Chaman Border Detention Facility,1,2025-10-22,2025-10-25,Security screening,1578,Transferred
95,131016,"Immigration Holding Facility, Islamabad Airport",1,2025-06-05,2025-06-12,Document verification,,Deported
96,105078,"Foreigners Registration Centre, Peshawar",1,2025-06-11,,Awaiting removal order,5122,Active
97,7264,"Immigration Holding Facility, Jinnah Airport",1,2025-04-23,2025-05-23,Pending deportation,300,Deported
98,21612,"FIA Detention Centre, Lahore",1,2025-05-28,2025-05-29,Awaiting removal order,3828,Released
