relationship_id,traveler_id_1,traveler_id_2,relationship_type,verified
1,98318,112681,Parent,1
2,126792,13388,Spouse,1
3,143162,145366,Sibling,0
4,85864,57106,Other,1
5,145124,18882,Child,1
6,73360,137865,Sibling,1
7,127861,97489,Parent,1
8,79884,66020,Parent,1
9,37864,18286,Spouse,1
10,93084,143278,Spouse,1
11,69214,66583,Child,1
12,34436,74653,Spouse,1
13,33364,92879,Spouse,0
14,78574,55516,Sibling,0
15,102207,75286,Child,1
16,35059,80272,Parent,0
17,114151,31521,Spouse,1
18,78947,142029,Parent,1
19,111754,102831,Spouse,1
20,108764,101273,Other,1
21,45807,109401,Parent,1
22,18102,52422,Other,0
23,71437,128649,Spouse,1
24,106259,65666,Spouse,1
25,131939,49359,Sibling,0
26,34607,57711,Spouse,0
27,86042,68212,Sibling,1
28,148012,101795,Spouse,1
29,114202,122878,Sibling,0
30,31974,111060,Child,1
31,37500,137905,Sibling,0
32,140547,118364,Child,0
33,63510,79040,Spouse,1
34,40975,55742,Sibling,1
35,128684,76676,Grandparent,1
36,95370,122882,Parent,0
37,2804,76942,Sibling,0
38,100796,103032,Parent,1
39,67511,105219,Sibling,1
40,66775,137998,Sibling,1
41,33052,90736,Other,1
42,58698,99783,Spouse,1
43,44201,7691,Spouse,0
44,29566,121751,Parent,1
45,122747,127508,Spouse,1
46,42217,41709,Spouse,1
47,47690,104805,Sibling,1
48,26684,14131,Spouse,0
49,17381,56850,Child,1
50,46651,86788,Sibling,1
51,11633,10214,Spouse,0
52,68671,120702,Spouse,1
53,137781,8310,Spouse,1
54,9081,129012,Other,1
55,149382,146365,Spouse,1
56,130248,87531,Parent,0
57,95470,119390,Spouse,0
58,137389,101249,Other,0
59,75956,10048,Sibling,0
60,30923,643,Grandparent,1
61,33762,29790,Other,1
62,40739,140745,Other,1
63,20896,40624,Sibling,1
64,90926,37152,Spouse,1
65,77044,48576,Spouse,1
66,57850,9919,Sibling,1
67,124872,135409,Other,1
68,19102,120151,Spouse,0
69,65109,75213,Parent,0
70,15488,110754,Parent,1
71,27916,15837,Spouse,1
72,124273,111755,Spouse,1
73,83213,51936,Child,1
74,118931,44465,Spouse,0
75,2757,96832,Spouse,0
76,77450,9370,Other,1
77,65510,132571,Spouse,1
78,19586,113805,Parent,1
79,124637,93578,Sibling,1
80,3842,52236,Grandparent,1
81,110277,57656,Parent,1
82,103874,85804,Spouse,1
83,138934,20987,Child,1
84,79047,80943,Grandchild,1
85,127923,122996,Spouse,1
86,101694,116396,Spouse,1
87,12428,6607,Spouse,1
88,117862,24589,Child,0
89,16407,61268,Sibling,1
90,48875,97236,Parent,1
91,40975,63280,Spouse,1
92,28687,106524,Child,1
93,105494,39323,Sibling,1
94,149275,35134,Spouse,1
95,92151,45666,Parent,1
96,61454,18726,Sibling,1
97,65170,127732,Parent,0
98,66097,145811,Parent,1
99,87617,32935,Grandparent,0
100,134215,61084,Child,1
101,19005,126976,Grandparent,0
102,32525,13118,Grandparent,0
103,149703,147414,Sibling,0
104,101309,136538,Spouse,0
105,8540,34813,Parent,0
106,41239,146543,Child,1
107,24430,94527,Sibling,1
108,120409,50076,Spouse,1
109,110498,129106,Parent,1
110,148140,147846,Spouse,0
111,130549,51668,Parent,1
112,145274,44627,Sibling,1
113,122850,92233,Parent,0
114,19080,132189,Spouse,1
115,90825,62931,Child,0
116,112917,11422,Sibling,0
117,68808,58249,Spouse,0
118,17708,71704,Spouse,1
119,115013,103779,Spouse,1
120,115040,87966,Parent,0
121,54333,3128,Sibling,1
122,19908,59258,Sibling,1
123,536,39420,Spouse,1
124,89416,34278,Parent,0
125,133473,9252,Sibling,1
126,95341,36139,Spouse,0
127,111765,143986,Spouse,0
128,72946,129823,Spouse,0
129,22789,22420,Sibling,1
130,19148,119266,Child,1
131,55710,134568,Sibling,1
132,36278,118173,Child,1
133,116898,54726,Sibling,1
134,99084,86127,Spouse,1
135,36572,148428,Grandchild,1
136,122484,105371,Spouse,1
137,28395,48777,Parent,1
138,145840,23062,Spouse,1
139,111274,143969,Parent,1
140,62756,82060,Parent,1
141,77399,133411,Sibling,1
142,105436,4761,Child,1
143,83627,33076,Parent,1
144,102218,110380,Sibling,1
145,138055,147658,Sibling,1
146,35739,72486,Child,1
147,124831,29407,Spouse,1
148,97095,106452,Sibling,1
149,28845,26033,Parent,1
150,144123,46811,Sibling,1
151,100819,100361,Spouse,1
152,138867,43821,Parent,0
153,1238,31653,Spouse,1
154,63885,43918,Spouse,1
155,75026,135199,Parent,0
156,68837,50420,Spouse,1
157,93754,60224,Child,1
158,121640,102808,Spouse,1
159,58328,17963,Parent,1
160,81556,29131,Child,1
161,54685,34044,Spouse,1
162,115324,47580,Parent,1
163,143933,20152,Spouse,1
164,12495,135608,Child,1
165,19626,120060,Spouse,1
166,5138,107677,Spouse,1
167,95542,130203,Child,1
168,62,60234,Spouse,1
169,96286,38091,Other,0
170,67442,19821,Other,1
171,24707,63210,Parent,1
172,25908,127584,Grandchild,0
173,127934,128695,Sibling,1
174,11795,81730,Child,1
175,15203,121803,Other,0
176,40006,45311,Spouse,1
177,109878,32630,Other,1
178,99922,118315,Spouse,0
179,22915,77328,Sibling,0
180,53176,134382,Spouse,1
181,115302,37047,Other,1
182,120261,38043,Spouse,0
183,70502,64619,Spouse,0
184,6809,120086,Spouse,1
185,106599,126160,Child,0
186,127981,77761,Spouse,0
187,139803,92029,Spouse,1
188,137160,8348,Sibling,1
189,27271,41275,Sibling,0
190,22836,106100,Spouse,1
191,6359,76156,Parent,1
192,147475,148291,Sibling,1
193,119770,110561,Sibling,0
194,56295,29553,Child,1
195,122707,144363,Spouse,1
196,25511,27074,Parent,1
197,2328,36879,Child,1
198,144975,119436,Parent,1
199,114486,135269,Other,1
200,113948,95226,Other,1
201,100093,142175,Parent,1
202,54352,70935,Child,1
203,134305,75993,Grandchild,0
204,55279,122849,Child,1
205,90534,132113,Spouse,1
206,68613,129268,Sibling,1
207,12448,132089,Child,1
208,134659,106295,Other,0
209,15604,77432,Child,1
210,21862,21475,Child,1
211,136833,62243,Spouse,0
212,45108,132751,Grandchild,1
213,16355,3502,Parent,0
214,107439,39826,Parent,1
215,108014,66627,Sibling,1
216,24904,139514,Parent,1
217,83314,93730,Spouse,0
218,68711,30004,Child,0
219,40872,134186,Sibling,0
220,117169,72412,Sibling,1
221,4518,143148,Spouse,1
222,16332,85269,Sibling,1
223,48282,141727,Spouse,0
224,125727,21153,Other,1
225,83187,59182,Grandchild,1
226,131123,1991,Other,1
227,18177,94441,Other,1
228,34986,99165,Sibling,1
229,39268,15640,Spouse,1
230,138304,104739,Sibling,1
231,70712,50128,Spouse,1
232,68659,74532,Child,1
233,64670,104430,Parent,0
234,144109,135475,Spouse,1
235,32908,33631,Spouse,0
236,96651,110071,Child,1
237,49313,139600,Parent,1
238,43580,21532,Parent,1
239,20547,94785,Parent,1
240,116218,123835,Sibling,1
241,71485,91421,Sibling,1
242,759,115460,Other,0
243,33310,61024,Child,1
244,18710,85139,Spouse,1
245,37983,59072,Sibling,0
246,31766,24186,Parent,1
247,142657,66989,Child,1
248,55299,65578,Sibling,1
249,144052,73038,Child,1
250,75930,11214,Child,1
251,51948,14645,Child,1
252,13811,139751,Other,1
253,146137,94376,Other,0
254,102535,124501,Child,0
255,91485,118815,Parent,0
256,62097,62903,Child,0
257,12905,23813,Spouse,0
258,2814,43159,Parent,1
259,125760,37686,Spouse,1
260,71332,19493,Sibling,1
261,136677,71922,Sibling,0
262,106792,78532,Other,1
263,21011,68344,Spouse,1
264,21889,46704,Sibling,1
265,58990,123252,Spouse,1
266,147465,67742,Child,1
267,32760,64609,Spouse,0
268,18595,83221,Spouse,1
269,131019,87559,Spouse,1
270,46726,65118,Child,1
271,39589,50342,Spouse,1
272,92907,56617,Child,0
273,84739,146296,Spouse,1
274,71991,75254,Child,0
275,131568,58410,Child,0
276,102702,25031,Spouse,0
277,49366,85755,Spouse,0
278,47580,29508,Grandchild,1
279,78690,51556,Spouse,0
280,68896,25707,Parent,1
281,67112,46204,Child,1
282,71565,31913,Sibling,0
283,12329,82449,Parent,1
284,68547,138399,Sibling,1
285,10877,123228,Child,0
286,126787,96932,Parent,1
287,47041,59777,Other,1
288,145092,141380,Child,0
289,139709,102485,Other,1
290,53551,66994,Sibling,1
291,1981,117506,Grandparent,0
292,48429,69202,Spouse,1
293,58421,44021,Child,1
294,107904,23682,Spouse,1
295,22019,144995,Spouse,1
296,80694,80798,Spouse,1
297,142234,15311,Child,0
298,18111,38029,Spouse,0
299,97677,40592,Child,1
300,103602,87682,Spouse,1
301,101771,58672,Spouse,0
302,124095,79362,Parent,1
303,117576,2816,Other,0
304,112762,79838,Sibling,1
305,119811,129405,Parent,0
306,48757,25861,Spouse,0
307,36435,121849,Parent,1
308,115419,19289,Sibling,1
309,37315,28958,Sibling,0
310,72847,2315,Spouse,1
311,25678,63088,Parent,1
312,87843,9923,Parent,1
313,35172,25563,Sibling,1
314,64526,15966,Other,1
315,47314,132557,Sibling,0
316,132221,85988,Child,0
317,135429,101427,Parent,1
318,19438,78634,Other,0
319,37343,20309,Spouse,1
320,118680,90964,Parent,0
321,128738,71588,Spouse,1
322,37040,109812,Sibling,1
323,29390,30278,Parent,1
324,91413,134894,Sibling,0
325,92169,98236,Spouse,0
326,56778,82734,Spouse,1
327,65612,61678,Spouse,1
328,57980,132180,Spouse,1
329,80439,71689,Other,0
330,135863,25704,Parent,0
331,67744,145406,Spouse,0
332,94801,19816,Parent,1
333,11473,62333,Spouse,1
334,99007,8962,Child,1
335,139638,47871,Parent,1
336,58642,104404,Spouse,0
337,137857,18828,Spouse,1
338,31229,147002,Spouse,0
339,2397,124401,Spouse,0
340,84305,34216,Sibling,1
341,68091,9172,Spouse,1
342,23626,8108,Spouse,0
343,130046,133252,Parent,1
344,89746,37752,Spouse,1
345,38448,133981,Grandparent,1
346,13961,51064,Child,0
347,45730,82785,Grandchild,1
348,133371,7131,Sibling,1
349,105231,109797,Child,1
350,61052,13424,Other,1
351,25297,41379,Child,1
352,14759,122273,Parent,0
353,103583,68189,Child,1
354,116095,40317,Spouse,1
355,6486,23210,Spouse,1
356,101221,1913,Spouse,1
357,84779,147870,Spouse,0
358,88357,11219,Other,1
359,88952,90197,Sibling,1
360,31749,36688,Child,0
361,50940,87756,Sibling,0
362,123903,134395,Sibling,1
363,114429,17804,Grandchild,0
364,21817,42669,Spouse,0
365,92402,129644,Parent,1
366,135845,133109,Parent,0
367,93187,95759,Spouse,1
368,58894,80698,Spouse,1
369,63219,116472,Spouse,1
370,65527,50946,Other,0
371,56073,96761,Sibling,1
372,114257,46446,Spouse,0
373,29390,3508,Spouse,1
374,147993,140466,Parent,1
375,107383,110996,Other,1
376,147877,91494,Sibling,1
377,129553,54470,Spouse,1
378,39353,89785,Spouse,1
379,75650,51779,Other,1
380,37507,69147,Sibling,0
381,129048,140415,Child,0
382,21232,43118,Spouse,1
383,66553,48942,Sibling,1
384,49909,111387,Sibling,1
385,10256,51259,Parent,1
386,1230,30992,Spouse,1
387,134738,124808,Parent,1
388,147505,124888,Sibling,0
389,45440,6250,Parent,1
390,121937,95844,Spouse,1
391,26525,71092,Spouse,0
392,90595,27389,Parent,0
393,78961,580,Child,0
394,105136,134990,Child,0
395,48905,34896,Spouse,0
396,92723,129997,Sibling,0
397,143517,125194,Parent,1
398,140168,43537,Sibling,1
399,142852,25700,Spouse,0
400,129572,10299,Sibling,1
401,24787,26475,Parent,0
402,14879,110635,Spouse,0
403,74749,55944,Sibling,1
404,76933,46803,Spouse,0
405,107228,29168,Parent,1
406,100275,24359,Spouse,1
407,149683,100235,Parent,1
408,30989,105741,Sibling,0
409,139618,1738,Parent,0
410,26586,143421,Child,0
411,140839,123457,Grandchild,0
412,88016,128451,Other,0
413,25104,143447,Spouse,0
414,40838,24873,Child,1
415,96789,65256,Other,1
416,23811,57267,Child,0
417,82800,141414,Child,0
418,86894,46794,Grandparent,0
419,24456,74300,Other,0
420,117124,1384,Sibling,0
421,67537,46641,Spouse,1
422,87972,46129,Parent,0
423,60746,5737,Parent,1
424,20678,74786,Parent,1
425,46751,30317,Spouse,0
426,128191,57213,Sibling,1
427,97273,123403,Sibling,1
428,118998,145704,Parent,1
429,127138,10761,Sibling,1
430,72076,84757,Parent,0
431,140863,93634,Other,1
432,143834,77009,Spouse,1
433,126376,73891,Child,1
434,47158,125246,Spouse,1
435,140357,113660,Parent,1
436,131435,6645,Spouse,1
437,106952,35916,Spouse,0
438,37200,123628,Spouse,0
439,47711,12000,Child,1
440,80326,37495,Spouse,1
441,8948,54428,Other,1
442,141319,118662,Sibling,1
443,98705,112,Spouse,1
444,117350,36661,Child,1
445,118116,79730,Other,1
446,9627,130235,Spouse,1
447,140088,4165,Spouse,1
448,101509,62873,Child,0
449,32483,54073,Spouse,1
450,26234,7310,Sibling,1
451,23685,64104,Child,1
452,47393,122189,Child,1
453,95933,82838,Parent,1
454,43835,111169,Spouse,0
455,55394,3890,Sibling,1
456,39176,135952,Sibling,1
