crossing_id,detected_date,location_name,nearest_port_id,latitude,longitude,direction,detection_method,group_size,smuggler_linked,apprehended_count,outcome,lead_traveler_id,nationality_id
1,2025-08-25 16:02:00,Torkham vicinity - North sector,33,34.051205,71.084774,Outbound,Informant,5,0,0,Turned Back,,3
2,2025-02-12 18:16:00,Chaman border - Western flank,34,30.907474,66.378001,Outbound,Checkpoint,2,0,2,Apprehended,92421,3
3,2025-03-26 20:15:00,Chaman border - Western flank,34,30.844792,66.428243,Outbound,Sensor,3,0,2,Partial Capture,15857,3
4,2025-11-24 01:09:00,Kasur sector,35,31.093449,74.426808,Inbound,Patrol,8,0,8,Apprehended,,2
5,2025-11-23 20:16:00,Makran coast - Jiwani,39,25.067092,61.727172,Inbound,Patrol,5,1,2,Partial Capture,24226,4
6,2025-11-01 22:59:00,Makran coast - Jiwani,39,25.02055,61.715423,Inbound,Tip-Off,1,0,0,Turned Back,54513,18
7,2025-12-18 01:47:00,Taftan border zone,36,28.876169,61.619677,Inbound,Sensor,8,1,0,Turned Back,5606,4
8,2025-02-13 17:56:00,Taftan border zone,36,28.925027,61.555111,Inbound,Patrol,12,1,0,Turned Back,126916,4
9,2025-06-07 19:35:00,Torkham vicinity - North sector,33,34.107127,71.098025,Inbound,Tip-Off,3,1,0,Escaped,,3
10,2025-08-27 00:54:00,Torkham vicinity - North sector,33,34.051406,71.049277,Inbound,Patrol,2,0,2,Apprehended,,1
11,2025-12-22 12:16:00,Taftan border zone,36,28.852553,61.619306,Inbound,Drone,3,0,3,Apprehended,43890,1
12,2025-12-01 21:11:00,Wagah border - Agricultural zone,35,31.585484,74.589972,Inbound,Patrol,3,0,3,Apprehended,45232,2
13,2025-03-09 22:20:00,Torkham vicinity - South sector,33,34.059637,71.057259,Inbound,Patrol,12,1,0,Turned Back,,3
14,2025-01-23 04:53:00,Wagah border - Agricultural zone,35,31.595047,74.625787,Inbound,Tip-Off,3,0,0,Turned Back,,1
15,2025-11-24 18:43:00,Chaman border - Main sector,34,30.931025,66.412379,Inbound,Patrol,3,0,0,Escaped,,3
16,2025-06-17 12:58:00,Chaman border - Western flank,34,30.893926,66.387322,Inbound,Drone,5,1,5,Apprehended,111581,3
17,2025-03-05 21:55:00,Torkham vicinity - North sector,33,34.094058,71.036142,Inbound,Patrol,12,0,0,Turned Back,66333,3
18,2025-08-25 23:50:00,Torkham vicinity - North sector,33,34.097088,71.058949,Outbound,Patrol,5,0,2,Partial Capture,,3
19,2025-01-03 20:41:00,Torkham vicinity - North sector,33,34.109477,71.125456,Inbound,Patrol,5,0,0,Escaped,83488,3
20,2025-11-26 13:22:00,Makran coast - Jiwani,39,25.096258,61.78062,Outbound,Patrol,3,1,0,Turned Back,118342,1
21,2025-10-08 21:29:00,Khyber Pass - off-road crossing,33,34.074566,71.007107,Inbound,Informant,2,0,1,Partial Capture,1697,3
22,2025-12-03 23:21:00,Mashkel desert crossing,36,27.753878,63.002569,Inbound,Tip-Off,2,0,2,Apprehended,13395,3
23,2025-01-23 20:22:00,Torkham vicinity - North sector,33,34.0531,71.111115,Inbound,Patrol,2,1,2,Apprehended,,3
24,2025-03-23 05:03:00,Chaman border - Western flank,34,30.845665,66.408136,Outbound,Patrol,3,1,3,Apprehended,,3
25,2025-11-27 01:20:00,Taftan border zone,36,28.929997,61.646769,Inbound,Tip-Off,20,1,0,Escaped,139648,1
26,2025-02-27 22:43:00,Makran coast - Jiwani,39,25.039088,61.740878,Inbound,Tip-Off,20,1,0,Turned Back,,3
27,2025-09-07 21:16:00,Landi Kotal area,33,34.100952,71.148993,Outbound,Drone,1,1,1,Apprehended,,3
28,2025-01-07 04:22:00,Khyber Pass - off-road crossing,33,34.069059,71.064358,Outbound,Tip-Off,3,0,3,Apprehended,,3
29,2025-10-09 17:29:00,Mashkel desert crossing,36,27.843007,62.975645,Inbound,Sensor,5,1,0,Escaped,,3
30,2025-12-11 21:01:00,Khyber Pass - off-road crossing,33,34.002052,71.03531,Outbound,Checkpoint,2,0,2,Apprehended,,3
31,2025-12-25 23:01:00,Chaman border - Western flank,34,30.915764,66.425306,Outbound,Checkpoint,3,1,0,Turned Back,61412,3
32,2025-02-08 18:29:00,Torkham vicinity - North sector,33,34.136606,71.044946,Inbound,Informant,2,0,2,Apprehended,77277,3
33,2025-04-04 23:45:00,Torkham vicinity - South sector,33,34.117408,71.064471,Inbound,Patrol,30,0,30,Apprehended,28577,1
34,2025-06-11 03:28:00,Karachi coastal - Ibrahim Hyderi,38,24.79241,67.13454,Inbound,Other,1,0,1,Apprehended,,22
35,2025-10-27 01:56:00,Khyber Pass - off-road crossing,33,34.087542,71.06836,Inbound,Drone,5,0,5,Apprehended,,3
36,2025-02-21 05:47:00,Chaman border - Main sector,34,30.954652,66.440172,Outbound,Informant,5,0,5,Apprehended,130538,3
37,2025-09-22 18:33:00,Torkham vicinity - South sector,33,34.102076,71.093861,Inbound,Sensor,2,0,2,Apprehended,,3
38,2025-08-24 01:13:00,Karachi coastal - Ibrahim Hyderi,38,24.824385,67.171524,Inbound,Drone,3,0,0,Escaped,,1
39,2025-02-27 05:15:00,Torkham vicinity - South sector,33,34.031381,71.132293,Inbound,CCTV,3,0,0,Turned Back,,1
40,2025-08-06 21:52:00,Spin Boldak corridor,34,30.950144,66.473852,Inbound,Tip-Off,1,0,0,Escaped,,3
41,2025-12-28 19:14:00,Taftan border zone,36,28.928959,61.648536,Outbound,Patrol,1,0,0,Turned Back,14470,3
42,2025-03-24 06:39:00,Makran coast - Ormara,38,25.197893,64.677968,Outbound,Tip-Off,5,0,0,Turned Back,62412,1
43,2025-02-01 19:57:00,Khyber Pass - off-road crossing,33,34.02447,71.081354,Outbound,Patrol,8,0,4,Partial Capture,,3
44,2025-07-11 16:12:00,Mashkel desert crossing,36,27.806274,63.027196,Outbound,Checkpoint,8,1,0,Turned Back,,4
45,2025-11-13 16:46:00,Chaman border - Western flank,34,30.869133,66.38909,Outbound,Tip-Off,1,0,1,Apprehended,36515,3
46,2025-10-24 03:06:00,Torkham vicinity - North sector,33,34.054398,71.031919,Inbound,Patrol,12,1,0,Turned Back,95915,1
47,2025-05-26 17:22:00,Landi Kotal area,33,34.056125,71.150702,Inbound,Sensor,5,0,0,Escaped,,3
