offload_id,traveler_id,offload_date,port_id,reason,airline,flight_number,destination_country_id,linked_alert_id,linked_ecl_id
1,101697,2025-09-22,1,Incomplete Travel Docs,Kuwait Airways,KU-286,34,,
2,129116,2025-03-20,4,Watchlist Hit,Saudi Airlines,SV-732,9,5767,
3,34256,2025-07-25,6,ECL Match,Gulf Air,GF-740,33,,2847
4,60489,2025-01-23,2,ECL Match,Serene Air,ER-359,31,,193
5,26836,2025-03-12,3,ECL Match,Saudi Airlines,SV-845,8,,2832
6,32720,2025-10-23,3,ECL Match,flyJinnah,9P-341,9,,2449
7,11381,2025-08-08,1,Incomplete Travel Docs,Serene Air,ER-419,10,,
8,113404,2025-08-08,3,Court Order,Emirates,EK-768,10,2528,
9,105683,2025-09-05,3,Invalid Documents,British Airways,BA-992,10,,
10,4175,2025-04-16,4,Watchlist Hit,British Airways,BA-263,11,5954,
11,81189,2025-05-14,6,ECL Match,Saudi Airlines,SV-885,15,,2572
12,105906,2025-10-01,1,Suspicious Behavior,Qatar Airways,QR-786,7,,
13,136974,2025-06-19,5,Incomplete Travel Docs,Saudi Airlines,SV-907,31,,
14,140953,2025-09-24,3,Invalid Documents,PIA,PK-298,8,,
15,12621,2025-11-12,3,Court Order,Emirates,EK-180,34,2888,
16,80117,2025-12-20,2,Invalid Documents,Qatar Airways,QR-637,10,,
17,52313,2025-08-16,3,Invalid Documents,Oman Air,WY-440,15,,
18,79114,2025-03-09,3,Court Order,flyJinnah,9P-445,11,2823,
19,110779,2025-10-04,2,ECL Match,Qatar Airways,QR-550,9,,942
20,29957,2025-03-09,3,ECL Match,Oman Air,WY-982,7,,1579
21,46477,2025-02-01,1,Incomplete Travel Docs,Etihad Airways,EY-331,11,,
22,31146,2025-02-18,5,Other,Gulf Air,GF-580,32,,
23,68518,2025-06-04,3,ECL Match,British Airways,BA-839,7,,699
24,33437,2025-06-02,3,Watchlist Hit,flyJinnah,9P-442,32,2243,
25,67131,2025-06-09,1,Watchlist Hit,flyJinnah,9P-916,9,7978,
26,49989,2025-07-09,1,ECL Match,Etihad Airways,EY-503,32,,292
27,22159,2025-02-05,2,Incomplete Travel Docs,Saudi Airlines,SV-578,13,,
28,69191,2025-01-23,1,ECL Match,British Airways,BA-408,10,,1773
29,62324,2025-09-10,3,Invalid Documents,Air Arabia,G9-913,9,,
30,90709,2025-06-14,1,Watchlist Hit,Qatar Airways,QR-923,33,239,
31,51076,2025-06-17,1,ECL Match,Oman Air,WY-575,10,,2665
32,106790,2025-10-26,1,ECL Match,flyJinnah,9P-586,12,,947
33,67771,2025-12-01,1,Invalid Documents,Air Arabia,G9-351,34,,
34,96086,2025-10-12,3,ECL Match,Oman Air,WY-507,9,,1671
35,81238,2025-07-02,1,ECL Match,Serene Air,ER-804,9,,1762
36,104380,2025-10-07,4,ECL Match,Serene Air,ER-357,9,,445
37,40120,2025-10-27,1,ECL Match,flyJinnah,9P-644,15,,2988
38,144187,2025-08-04,1,Interpol Alert,Qatar Airways,QR-209,10,,
39,110517,2025-10-04,3,Interpol Alert,Kuwait Airways,KU-124,10,,
40,94026,2025-08-17,4,ECL Match,Gulf Air,GF-786,10,,2791
41,126726,2025-09-19,3,ECL Match,Air Arabia,G9-461,10,,787
42,84724,2025-06-08,2,ECL Match,Turkish Airlines,TK-742,32,,1133
43,132752,2025-03-27,1,Other,Gulf Air,GF-701,13,,
44,79705,2025-07-09,2,Invalid Documents,Oman Air,WY-769,12,,
45,119245,2025-09-07,3,Incomplete Travel Docs,PIA,PK-574,31,,
46,34573,2025-09-03,2,Watchlist Hit,Air Arabia,G9-629,9,5024,
47,77476,2025-04-24,1,Interpol Alert,Emirates,EK-500,10,,
48,107595,2025-04-02,4,Invalid Documents,Serene Air,ER-973,8,,
49,101069,2025-03-05,3,Court Order,flyJinnah,9P-477,15,7040,
50,113665,2025-06-04,2,Watchlist Hit,Saudi Airlines,SV-474,12,931,
51,14422,2025-11-21,3,Watchlist Hit,PIA,PK-125,8,475,
52,70506,2025-07-10,4,Watchlist Hit,Air Arabia,G9-226,9,1190,
53,69371,2025-04-19,4,Watchlist Hit,flyJinnah,9P-613,9,3105,
54,103521,2025-02-27,4,ECL Match,British Airways,BA-173,34,,802
55,122736,2025-05-28,3,Invalid Documents,PIA,PK-879,32,,
56,60711,2025-07-21,3,ECL Match,Oman Air,WY-526,9,,1441
57,133535,2025-11-06,1,Suspicious Behavior,Emirates,EK-897,10,,
58,105059,2025-10-11,1,ECL Match,flydubai,FZ-349,34,,910
59,76446,2025-07-28,1,ECL Match,Turkish Airlines,TK-290,10,,1208
