order_id,traveler_id,order_date,reason,destination_country_id,execution_date,status,voluntary_departure
1,144001,2025-01-04,Failed Asylum,3,2025-03-25,Executed,0
2,26355,2025-01-26,Trafficking Involvement,1,,Appealed,0
3,72940,2025-10-20,Failed Asylum,3,,Issued,0
4,111088,2025-03-23,Trafficking Involvement,6,,Cancelled,0
5,91251,2025-09-15,Criminal Offense,28,2025-11-14,Executed,0
6,89983,2025-01-26,Visa Overstay,7,2025-02-03,Executed,1
7,90113,2025-07-17,Criminal Offense,1,,Stayed,0
8,76898,2025-09-01,Criminal Offense,18,2025-10-04,Executed,0
9,41858,2025-11-10,Failed Asylum,1,,Issued,0
10,33891,2025-07-06,Security Threat,2,,Issued,0
11,73923,2025-11-06,Visa Overstay,3,2025-12-08,Executed,0
12,96299,2025-09-06,Failed Asylum,17,,Appealed,0
13,18243,2025-12-26,Visa Overstay,16,,Issued,0
14,83873,2025-06-18,Failed Asylum,42,,Issued,0
15,88895,2025-01-25,Visa Overstay,18,,Cancelled,0
16,27393,2025-12-07,Failed Asylum,18,,Issued,0
17,125269,2025-01-06,Visa Overstay,3,2025-02-19,Executed,0
18,25606,2025-07-02,Visa Overstay,6,2025-07-23,Executed,0
19,60840,2025-01-08,Failed Asylum,16,,Appealed,0
20,623,2025-05-16,Failed Asylum,3,2025-08-09,Executed,1
21,107912,2025-02-09,Failed Asylum,16,,Issued,0
22,6026,2025-10-22,Visa Overstay,1,2025-11-13,Executed,0
23,4226,2025-10-06,Other,1,,Issued,0
24,17203,2025-02-09,Visa Overstay,19,2025-03-10,Executed,1
25,130905,2025-11-26,Unauthorized Work,1,,Cancelled,1
26,124400,2025-07-28,Visa Overstay,1,2025-08-25,Executed,0
27,41568,2025-05-02,Failed Asylum,17,2025-07-18,Executed,1
28,136311,2025-02-24,Trafficking Involvement,6,,Cancelled,0
29,134228,2025-12-02,Failed Asylum,18,2025-12-10,Executed,0
30,5622,2025-12-07,Failed Asylum,3,,Stayed,0
31,41935,2025-03-01,Visa Overstay,12,,Stayed,0
32,5241,2025-10-05,Unauthorized Work,1,,Stayed,0
33,128463,2025-07-15,Visa Overstay,17,2025-09-09,Executed,0
34,57374,2025-03-04,Fraudulent Documents,1,2025-04-04,Executed,0
35,106846,2025-12-06,Visa Overstay,27,,Cancelled,0
36,134656,2025-05-28,Criminal Offense,3,,Appealed,0
37,134510,2025-03-23,Other,1,2025-04-27,Executed,0
38,57690,2025-09-27,Visa Overstay,6,2025-10-29,Executed,0
39,55987,2025-02-14,Failed Asylum,16,2025-03-01,Executed,0
40,130370,2025-05-21,Trafficking Involvement,3,2025-07-20,Executed,0
41,49938,2025-04-19,Trafficking Involvement,10,2025-06-02,Executed,0
42,103196,2025-01-25,Visa Overstay,3,,Issued,0
43,65021,2025-10-16,Fraudulent Documents,18,,Issued,0
44,62653,2025-03-20,Visa Overstay,3,2025-04-08,Executed,0
45,107436,2025-12-10,Failed Asylum,48,,Stayed,1
46,95047,2025-03-24,Criminal Offense,2,2025-05-22,Executed,0
47,2541,2025-03-18,Other,1,2025-04-02,Executed,0
48,136077,2025-02-11,Visa Overstay,1,,Stayed,1
49,14367,2025-04-05,Other,16,,Issued,1
50,139318,2025-06-04,Failed Asylum,16,,Issued,0
51,51860,2025-07-19,Visa Overstay,2,,Stayed,0
52,32726,2025-05-23,Visa Overstay,3,2025-07-08,Executed,0
53,39374,2025-09-01,Criminal Offense,1,2025-10-01,Executed,0
54,101664,2025-04-14,Security Threat,1,,Stayed,0
55,138714,2025-01-01,Fraudulent Documents,19,,Appealed,0
56,128502,2025-04-14,Visa Overstay,3,2025-04-27,Executed,0
57,128513,2025-04-02,Criminal Offense,19,,Appealed,0
58,1776,2025-02-13,Security Threat,3,,Stayed,0
59,109989,2025-12-24,Other,8,,Stayed,0
60,5493,2025-03-15,Visa Overstay,3,2025-05-27,Executed,0
61,99044,2025-01-13,Other,1,,Appealed,0
62,35364,2025-04-24,Fraudulent Documents,1,2025-06-13,Executed,0
63,139271,2025-10-17,Visa Overstay,1,2025-12-06,Executed,1
64,107673,2025-06-17,Criminal Offense,2,,Cancelled,0
65,87983,2025-06-03,Visa Overstay,20,,Cancelled,0
66,47288,2025-04-20,Fraudulent Documents,4,2025-06-18,Executed,1
67,135696,2025-05-18,Criminal Offense,3,,Stayed,1
68,39814,2025-07-17,Visa Overstay,1,,Appealed,0
69,30689,2025-05-15,Failed Asylum,3,,Stayed,0
70,135379,2025-07-16,Fraudulent Documents,1,2025-08-21,Executed,1
71,93798,2025-04-08,Fraudulent Documents,2,,Issued,0
72,51343,2025-07-22,Failed Asylum,3,,Cancelled,0
73,143507,2025-07-09,Other,17,,Appealed,0
74,86765,2025-02-08,Security Threat,12,,Appealed,0
75,42161,2025-08-02,Visa Overstay,1,,Cancelled,1
76,50528,2025-05-07,Visa Overstay,2,,Issued,1
77,48279,2025-07-02,Visa Overstay,27,2025-08-24,Executed,0
78,32576,2025-05-01,Visa Overstay,1,2025-05-31,Executed,1
79,47997,2025-02-07,Failed Asylum,22,2025-04-04,Executed,0
80,116160,2025-11-08,Visa Overstay,41,2025-11-21,Executed,0
81,45059,2025-08-23,Visa Overstay,6,,Cancelled,0
82,76359,2025-03-26,Failed Asylum,3,,Appealed,0
83,36331,2025-06-16,Visa Overstay,1,,Cancelled,1
84,619,2025-03-27,Failed Asylum,3,,Appealed,0
85,10410,2025-10-11,Visa Overstay,1,,Cancelled,0
86,54590,2025-08-04,Other,2,2025-10-06,Executed,1
87,85282,2025-10-27,Failed Asylum,1,,Issued,0
88,10909,2025-08-11,Fraudulent Documents,1,2025-10-10,Executed,0
89,53439,2025-01-22,Failed Asylum,3,2025-01-29,Executed,0
90,79506,2025-09-14,Trafficking Involvement,16,,Appealed,0
91,47860,2025-08-05,Failed Asylum,3,,Cancelled,1
92,85259,2025-04-24,Visa Overstay,1,2025-05-10,Executed,0
93,113854,2025-02-20,Visa Overstay,22,,Cancelled,0
94,137104,2025-07-26,Visa Overstay,3,,Stayed,0
95,84683,2025-09-16,Criminal Offense,1,,Issued,0
96,103784,2025-06-11,Visa Overstay,4,2025-08-15,Executed,0
97,17937,2025-12-23,Failed Asylum,3,,Stayed,1
98,119170,2025-02-26,Failed Asylum,3,,Stayed,1
99,45999,2025-11-13,Criminal Offense,19,,Appealed,0
100,103575,2025-08-02,Visa Overstay,43,,Issued,1
101,68804,2025-01-05,Visa Overstay,1,,Appealed,0
102,136015,2025-07-13,Fraudulent Documents,17,,Appealed,0
103,108619,2025-08-03,Fraudulent Documents,1,,Stayed,0
