link_id,network_id,traveler_id,role,confidence_level,identified_date,is_active
1,DRG-0001,104591,Organizer,Low,2025-06-15,1
2,DRG-0001,88955,Transporter,High,2025-07-02,1
3,DRG-0001,37464,Financier,Medium,2025-06-30,1
4,DRG-0001,91417,Document Forger,High,2025-06-10,1
5,DRG-0001,83266,Coordinator,Medium,2025-06-15,1
6,DRG-0001,95523,Unknown,Confirmed,2025-06-30,1
7,DRG-0001,102960,Document Forger,High,2025-06-12,1
8,SMG-0002,9145,Organizer,High,2025-07-08,0
9,SMG-0002,117294,Recruiter,Low,2025-06-29,0
10,SMG-0002,60085,Lookout,Confirmed,2025-07-01,0
11,SMG-0002,141355,Recruiter,High,2025-07-10,0
12,SMG-0002,29345,Unknown,Confirmed,2025-06-16,0
13,SMG-0002,36909,Recruiter,Medium,2025-07-07,0
14,SMG-0002,19137,Coordinator,High,2025-06-27,0
15,SMG-0002,46310,Recruiter,High,2025-06-15,0
16,SMG-0002,116360,Recruiter,Low,2025-06-16,0
17,SMG-0002,96824,Document Forger,Low,2025-06-23,0
18,TRF-0003,114030,Organizer,Medium,2025-05-03,1
19,TRF-0003,101616,Document Forger,High,2025-04-28,1
20,TRF-0003,57475,Document Forger,Low,2025-05-03,1
21,TRF-0003,86984,Document Forger,Low,2025-05-02,1
22,TRF-0003,6790,Coordinator,Confirmed,2025-04-18,1
23,TRF-0003,57484,Recruiter,Confirmed,2025-04-22,1
24,TRF-0003,134766,Transporter,High,2025-04-30,1
25,TRF-0003,40936,Transporter,High,2025-04-20,1
26,TRF-0003,33830,Coordinator,Medium,2025-04-28,1
27,TRF-0003,7145,Transporter,High,2025-04-29,1
28,TRF-0003,129641,Recruiter,High,2025-05-09,1
29,TRF-0003,107976,Transporter,Low,2025-05-16,1
30,SMG-0004,75869,Organizer,Medium,2025-08-13,0
31,SMG-0004,27577,Recruiter,Medium,2025-08-11,0
32,SMG-0004,133858,Financier,High,2025-07-23,0
33,SMG-0004,60845,Transporter,Low,2025-08-04,0
34,MIX-0005,104304,Organizer,High,2025-07-19,0
35,MIX-0005,4056,Lookout,High,2025-07-07,0
36,MIX-0005,130659,Transporter,Confirmed,2025-07-30,0
37,MIX-0005,47105,Coordinator,High,2025-07-21,0
38,SMG-0006,52448,Organizer,Low,2025-07-26,0
39,SMG-0006,15213,Lookout,High,2025-07-24,0
40,SMG-0006,62790,Lookout,Low,2025-07-28,0
41,SMG-0006,97236,Transporter,High,2025-08-09,0
42,DRG-0007,66516,Organizer,Confirmed,2025-11-17,1
43,DRG-0007,54020,Unknown,Medium,2025-11-11,1
44,DRG-0007,85580,Organizer,Medium,2025-11-05,1
45,DRG-0007,38480,Coordinator,Confirmed,2025-10-26,1
46,DRG-0007,133426,Recruiter,Confirmed,2025-10-26,1
47,DRG-0007,55208,Document Forger,High,2025-11-17,1
48,DRG-0007,37632,Recruiter,Medium,2025-11-03,1
49,DRG-0007,82684,Document Forger,Medium,2025-11-02,1
50,DOC-0008,66636,Organizer,Confirmed,2025-03-14,1
51,DOC-0008,63967,Unknown,High,2025-03-21,1
52,DOC-0008,44347,Transporter,High,2025-03-10,1
53,TRF-0009,113983,Organizer,High,2025-07-05,1
54,TRF-0009,30892,Transporter,High,2025-07-14,1
55,TRF-0009,136755,Coordinator,High,2025-07-19,1
56,TRF-0009,94904,Transporter,High,2025-07-16,1
57,TRF-0009,9288,Unknown,Medium,2025-07-08,1
58,TRF-0009,59544,Unknown,High,2025-06-29,1
59,TRF-0009,123105,Transporter,Low,2025-07-04,1
60,TRF-0009,116584,Recruiter,Low,2025-07-13,1
61,TRF-0009,145679,Transporter,Medium,2025-06-28,1
62,TRF-0009,103391,Coordinator,Medium,2025-07-06,1
63,TRF-0009,11990,Organizer,High,2025-07-13,1
64,TRF-0009,145195,Lookout,High,2025-07-02,1
65,MIX-0010,4516,Organizer,Confirmed,2025-04-01,1
66,MIX-0010,60797,Recruiter,High,2025-04-19,1
67,MIX-0010,6670,Recruiter,Medium,2025-04-21,1
68,MIX-0010,58683,Lookout,High,2025-04-16,1
69,MIX-0010,135019,Transporter,Low,2025-03-25,1
70,MIX-0010,57779,Unknown,Medium,2025-04-03,1
71,TRF-0011,79709,Organizer,Medium,2025-09-06,1
72,TRF-0011,7525,Recruiter,Low,2025-09-04,1
73,TRF-0011,100873,Financier,Low,2025-09-05,1
74,TRF-0011,135520,Coordinator,High,2025-08-24,1
75,MIX-0012,142228,Organizer,High,2025-07-29,1
76,MIX-0012,90263,Coordinator,Low,2025-07-18,1
77,MIX-0012,47861,Document Forger,High,2025-08-12,1
78,MIX-0012,54975,Recruiter,High,2025-07-24,1
79,MIX-0012,13503,Transporter,Medium,2025-08-07,1
80,MIX-0012,27364,Document Forger,High,2025-07-24,1
81,MIX-0012,120181,Recruiter,High,2025-08-01,1
82,MIX-0012,32781,Transporter,Confirmed,2025-07-16,1
83,DRG-0013,133774,Organizer,Medium,2025-09-04,0
84,DRG-0013,122034,Transporter,High,2025-09-11,0
85,DRG-0013,111252,Document Forger,Low,2025-09-15,0
86,DRG-0013,144557,Organizer,Medium,2025-09-04,0
87,MIX-0014,2250,Organizer,High,2025-12-25,1
88,MIX-0014,45555,Document Forger,Low,2025-12-28,1
89,MIX-0014,145625,Transporter,Confirmed,2025-12-28,1
90,MIX-0014,137734,Coordinator,Low,2025-12-28,1
91,MIX-0014,42054,Lookout,High,2025-12-28,1
92,MIX-0014,5144,Lookout,High,2025-12-28,1
93,DOC-0015,130845,Organizer,Confirmed,2025-11-27,1
94,DOC-0015,104945,Lookout,Low,2025-11-16,1
95,DOC-0015,49880,Document Forger,High,2025-11-09,1
96,DOC-0015,102238,Document Forger,Confirmed,2025-11-22,1
97,DOC-0015,89190,Unknown,High,2025-12-02,1
98,SMG-0016,126002,Organizer,High,2025-06-20,1
99,SMG-0016,14034,Document Forger,High,2025-06-26,1
100,SMG-0016,58662,Unknown,High,2025-06-14,1
101,SMG-0016,31898,Coordinator,High,2025-06-06,1
102,SMG-0016,80938,Transporter,Medium,2025-06-26,1
103,SMG-0016,39560,Lookout,Confirmed,2025-06-18,1
104,TRF-0017,110556,Organizer,Medium,2025-05-20,0
105,TRF-0017,78748,Transporter,High,2025-05-06,0
106,TRF-0017,44803,Coordinator,High,2025-05-11,0
107,TRF-0018,5406,Organizer,Medium,2025-06-26,1
108,TRF-0018,39064,Recruiter,Medium,2025-06-02,1
109,TRF-0018,116013,Financier,High,2025-06-27,1
110,TRF-0018,140701,Recruiter,High,2025-06-19,1
111,TRF-0019,26657,Organizer,Low,2025-07-30,0
112,TRF-0019,109787,Recruiter,Medium,2025-08-12,0
113,TRF-0019,121946,Transporter,Confirmed,2025-07-24,0
114,DOC-0020,76343,Organizer,High,2025-12-10,1
115,DOC-0020,101050,Coordinator,Medium,2025-11-29,1
116,DOC-0020,94234,Transporter,High,2025-11-20,1
117,DOC-0020,60891,Lookout,High,2025-11-30,1
118,DOC-0020,21190,Unknown,High,2025-12-11,1
119,DOC-0020,70394,Unknown,Medium,2025-12-08,1
120,DOC-0020,122013,Document Forger,High,2025-12-14,1
121,SMG-0021,93094,Organizer,Confirmed,2025-03-25,1
122,SMG-0021,83342,Unknown,Confirmed,2025-04-13,1
123,SMG-0021,75479,Financier,High,2025-03-25,1
124,SMG-0021,141071,Unknown,Medium,2025-04-21,1
125,SMG-0021,109290,Organizer,Medium,2025-03-25,1
126,MIX-0022,29304,Organizer,High,2025-11-26,1
127,MIX-0022,54198,Recruiter,Confirmed,2025-12-20,1
