case_id,case_type,victim_traveler_id,suspect_traveler_id,origin_country_id,transit_country_id,destination_country_id,reported_date,status,victim_age_at_time,victim_gender
1,Labor,111996,,3,4,33,2025-09-18,Closed,47,M
2,Domestic Servitude,104861,,28,1,9,2025-11-15,Under Investigation,33,F
3,Organ,135346,116476,3,,1,2025-02-14,Prosecuted,50,M
4,Child,67103,,3,4,9,2025-01-12,Prosecuted,15,M
5,Child,52328,,18,4,9,2025-09-14,Under Investigation,13,M
6,Organ,6159,10406,1,,1,2025-12-24,Under Investigation,35,M
7,Labor,131361,9887,26,1,31,2025-05-11,Prosecuted,40,M
8,Sexual,117911,39300,21,1,10,2025-07-01,Convicted,18,M
9,Sexual,88920,27576,6,12,10,2025-06-27,Under Investigation,17,F
10,Domestic Servitude,98303,108835,21,15,10,2025-03-01,Open,27,F
11,Labor,138233,,26,1,34,2025-01-14,Prosecuted,36,M
12,Domestic Servitude,49427,95954,6,10,33,2025-08-19,Convicted,31,F
13,Other,36672,,18,1,8,2025-07-27,Prosecuted,19,F
14,Organ,47389,,3,,1,2025-07-15,Open,42,M
15,Labor,138031,,2,1,9,2025-06-11,Open,44,M
16,Child,,83434,18,,4,2025-09-19,Convicted,17,F
17,Sexual,88423,113606,20,1,13,2025-02-02,Closed,32,F
18,Forced Marriage,129348,,3,,9,2025-03-15,Prosecuted,17,F
19,Labor,38430,,26,,32,2025-08-20,Convicted,42,M
20,Other,108923,74717,17,12,8,2025-11-11,Under Investigation,42,F
21,Domestic Servitude,,108421,28,1,31,2025-05-10,Under Investigation,35,F
22,Debt Bondage,135627,128001,26,1,9,2025-03-08,Under Investigation,49,M
23,Forced Marriage,126826,73008,1,10,8,2025-01-17,Closed,30,F
24,Labor,110612,87391,3,4,33,2025-11-22,Under Investigation,28,M
25,Sexual,16164,107692,28,1,8,2025-08-17,Prosecuted,18,F
26,Child,142578,,18,1,10,2025-04-08,Under Investigation,14,M
27,Other,90175,89581,3,12,8,2025-12-01,Under Investigation,33,M
28,Labor,60891,36658,2,10,32,2025-12-12,Acquitted,23,M
29,Labor,39429,,1,4,32,2025-02-20,Under Investigation,29,M
30,Organ,124496,,1,,1,2025-11-25,Under Investigation,34,M
31,Forced Marriage,111915,137037,3,10,10,2025-07-24,Under Investigation,21,F
32,Labor,79353,112726,1,10,33,2025-08-01,Closed,29,M
33,Sexual,65111,,6,,10,2025-12-10,Prosecuted,23,F
34,Sexual,89989,117975,28,1,37,2025-04-08,Open,31,F
35,Child,56503,,18,,1,2025-03-20,Convicted,13,M
36,Labor,112151,,1,4,32,2025-03-08,Under Investigation,20,M
37,Sexual,11559,,20,12,10,2025-11-28,Under Investigation,31,F
38,Other,85203,50690,1,4,9,2025-05-04,Closed,46,M
39,Child,103557,69154,18,,1,2025-09-20,Convicted,14,M
40,Child,98805,,1,1,4,2025-02-21,Under Investigation,6,M
41,Forced Marriage,22936,76715,3,10,9,2025-11-20,Convicted,25,F
42,Child,22327,,18,,10,2025-05-14,Closed,11,M
43,Other,34070,123283,3,4,8,2025-08-26,Under Investigation,29,M
44,Labor,114032,13847,1,,9,2025-05-14,Closed,25,M
45,Child,56870,80974,1,1,9,2025-01-07,Prosecuted,7,F
46,Labor,76711,,3,10,9,2025-12-17,Under Investigation,40,M
47,Labor,104924,,2,,33,2025-09-13,Closed,29,M
48,Domestic Servitude,20889,18724,21,1,31,2025-04-22,Closed,27,F
49,Sexual,131438,,6,4,13,2025-10-28,Closed,18,F
50,Forced Marriage,118793,14825,1,10,11,2025-03-23,Under Investigation,25,F
51,Labor,28523,,3,,34,2025-06-25,Under Investigation,20,M
52,Domestic Servitude,21398,88177,21,15,33,2025-07-11,Prosecuted,41,F
53,Other,64718,105460,6,,8,2025-07-20,Prosecuted,31,M
54,Organ,80067,,6,,1,2025-11-12,Convicted,33,F
55,Forced Marriage,63515,35702,3,1,11,2025-09-23,Open,19,F
